,ball_1,ball_2,ball_3,ball_4,ball_5,star
2010142,9,43,15,44,10,5
2010143,15,23,16,41,30,8
2010144,34,14,32,31,46,3
2010145,33,12,24,7,15,6
2010146,13,30,33,25,36,9
2010147,19,15,44,4,24,1
2010148,38,3,9,11,28,1
2010149,6,14,49,40,9,3
2010150,37,6,16,28,4,8
2010151,35,41,40,11,22,7
2010152,32,23,9,6,13,4
2010153,8,18,36,1,29,9
2010154,16,30,29,7,10,5
2010155,30,44,42,39,13,9
2010156,47,15,46,29,11,3
2011001,43,49,46,34,11,3
2011002,34,37,10,18,30,2
2011003,27,47,4,5,32,5
2011004,47,34,12,30,31,10
2011005,35,33,40,37,11,4
2011006,41,40,30,28,17,7
2011007,26,43,6,36,29,8
2011008,48,49,36,24,21,5
2011009,36,4,12,13,1,4
2011010,13,27,6,31,8,7
2011011,3,39,6,48,9,4
2011012,23,45,6,48,17,1
2011013,14,33,44,31,12,8
2011014,20,10,13,43,3,5
2011015,27,6,44,23,22,3
2011016,31,22,37,6,1,7
2011017,6,8,49,35,25,1
2011018,15,31,41,27,43,7
2011019,13,38,2,45,4,2
2011020,31,35,40,9,48,1
2011021,44,35,32,8,33,9
2011022,25,2,49,32,1,6
2011023,36,20,21,9,46,6
2011024,5,2,33,21,28,10
2011025,35,24,10,26,48,1
2011026,20,49,40,17,31,6
2011027,20,22,40,2,3,7
2011028,11,45,44,27,31,2
2011029,7,38,23,9,17,5
2011030,9,43,3,29,15,8
2011031,15,34,22,33,16,9
2011032,32,38,36,34,27,7
2011033,23,20,32,7,14,4
2011034,26,10,11,23,1,8
2011035,28,23,3,40,31,1
2011036,13,4,24,21,10,5
2011037,17,26,34,4,30,9
2011038,15,10,16,46,43,1
2011039,15,23,27,43,29,10
2011040,5,24,7,46,35,3
2011041,12,23,37,13,10,7
2011042,12,19,1,32,44,3
2011043,6,20,31,22,41,8
2011044,13,47,22,3,32,6
2011045,38,6,33,43,23,1
2011046,17,35,24,47,6,8
2011047,6,10,22,7,21,5
2011048,15,41,18,17,33,9
2011049,40,21,28,32,8,9
2011050,18,2,21,34,10,2
2011051,5,26,14,28,23,6
2011052,8,49,42,9,2,3
2011053,25,23,4,1,40,2
2011054,44,29,11,7,13,2
2011055,42,28,37,38,3,8
2011056,13,48,3,26,22,7
2011057,45,14,26,28,38,5
2011058,38,31,35,42,3,8
2011059,41,43,9,11,46,8
2011060,27,23,16,17,47,1
2011061,27,15,35,5,14,10
2011062,15,29,38,19,33,3
2011063,14,45,34,27,38,3
2011064,2,5,3,1,43,9
2011065,14,22,47,20,21,9
2011066,30,45,32,25,26,5
2011067,35,4,27,15,3,2
2011068,10,30,45,22,13,1
2011069,20,16,40,11,24,5
2011070,39,32,44,37,5,5
2011071,22,3,18,17,28,6
2011072,47,41,9,37,36,8
2011073,9,12,43,46,33,10
2011074,27,2,23,8,36,9
2011075,33,21,26,28,22,5
2011076,39,43,10,17,6,3
2011077,43,5,14,20,12,3
2011078,38,11,37,1,18,4
2011079,49,11,26,1,7,5
2011080,14,46,31,25,37,4
2011081,9,33,10,24,3,6
2011082,15,4,31,45,44,6
2011083,7,43,23,48,47,9
2011084,4,46,41,12,16,6
2011085,27,35,42,18,37,3
2011086,19,5,38,47,26,7
2011087,26,45,18,23,6,6
2011088,43,32,18,13,46,5
2011089,38,22,3,11,41,7
2011090,6,11,7,5,4,10
2011091,8,41,20,46,12,1
2011092,32,37,43,10,25,3
2011093,20,4,19,17,5,10
2011094,17,13,15,4,39,4
2011095,18,12,1,26,30,9
2011096,28,4,27,29,38,2
2011097,3,13,4,41,5,9
2011098,23,3,8,4,1,8
2011099,8,49,29,45,3,9
2011100,21,40,49,31,22,4
2011101,40,36,38,44,17,1
2011102,3,36,47,4,17,4
2011103,27,21,19,13,45,2
2011104,46,30,12,3,10,2
2011105,7,42,39,9,5,3
2011106,42,41,7,13,47,5
2011107,7,17,22,10,23,5
2011108,13,40,41,3,12,7
2011109,15,1,28,24,10,5
2011110,13,45,18,32,30,2
2011111,14,42,5,16,11,3
2011112,15,40,1,23,2,4
2011113,13,1,27,48,35,7
2011114,40,20,46,19,16,4
2011115,36,4,41,33,40,6
2011116,11,44,33,4,49,9
2011117,16,42,36,3,8,3
2011118,25,38,14,32,15,3
2011119,40,28,27,12,4,1
2011120,20,2,7,42,27,5
2011121,31,44,21,30,22,7
2011122,15,47,16,45,3,7
2011123,12,9,20,30,25,5
2011124,13,37,27,5,39,3
2011125,14,13,18,4,48,10
2011126,38,35,23,3,44,8
2011127,45,44,32,29,6,7
2011128,15,18,17,5,31,7
2011129,35,6,2,3,20,1
