,ball_1,ball_2,ball_3,ball_4,ball_5,star_1,star_2
20140415,14,50,47,26,3,7,11
20140418,21,47,31,39,24,3,7
20140422,20,46,15,24,13,8,1
20140425,13,49,44,21,24,9,1
20140429,35,26,18,23,44,3,11
20140502,30,42,4,31,38,11,2
20140506,37,5,19,31,24,9,1
20140509,45,28,3,26,21,10,7
20140513,47,34,13,30,4,6,2
20140516,26,23,37,29,40,4,3
20140520,38,5,36,33,47,4,9
20140523,31,3,47,8,34,11,9
20140527,16,13,26,25,7,1,6
20140530,27,41,24,45,5,7,6
20140603,2,39,32,15,44,5,10
20140606,34,40,25,7,49,9,11
20140610,12,18,21,33,32,1,11
20140613,16,22,28,46,18,11,9
20140617,48,13,37,40,11,8,9
20140620,5,38,49,15,25,1,2
20140624,20,1,7,21,48,4,7
20140627,39,34,45,33,31,2,10
20140701,39,25,18,22,27,5,10
20140704,47,18,43,39,4,6,2
20140708,24,18,22,8,27,11,4
20140711,38,35,5,49,22,7,4
20140715,18,27,15,34,20,1,3
20140718,1,41,43,11,29,3,11
20140722,1,43,50,45,24,5,8
20140725,10,24,9,12,43,5,9
20140729,40,23,35,10,43,9,3
20140801,50,44,46,48,24,10,5
20140805,5,21,42,7,19,11,5
20140808,29,21,35,46,43,1,9
20140812,22,19,7,16,33,5,2
20140815,4,21,30,5,23,10,8
20140819,11,34,47,4,7,7,8
20140822,29,17,49,35,4,1,2
20140826,36,48,45,10,22,11,4
20140829,32,38,26,9,2,3,6
20140902,39,45,25,31,5,8,1
20140905,18,50,23,46,1,9,3
20140909,15,35,19,8,24,10,8
20140912,31,9,33,26,13,7,11
20140916,4,30,35,50,29,4,2
20140919,6,34,8,38,48,9,3
20140923,13,35,14,29,12,1,7
20140926,46,35,47,13,27,1,2
20140930,33,13,15,3,42,5,7
20141003,13,23,50,48,4,10,5
20141007,38,30,21,9,28,8,1
20141010,29,42,47,45,6,9,10
20141014,15,23,32,4,5,7,3
20141017,49,13,48,1,40,8,10
20141021,40,33,27,20,21,3,10
20141024,42,20,3,30,9,6,1
20141028,45,17,40,10,15,1,2
20141031,10,41,13,20,33,9,3
20141104,1,13,6,26,17,3,5
20141107,32,13,38,46,25,10,1
20141111,46,14,36,2,21,11,7
20141114,36,32,38,48,17,8,5
20141118,3,2,36,38,17,11,4
20141121,28,32,7,37,4,5,10
20141125,32,7,36,3,25,1,6
20141128,10,23,6,41,15,10,4
20141202,15,25,3,49,44,9,1
20141205,5,8,48,47,37,3,2
20141209,31,1,3,42,46,11,4
20141212,28,2,15,31,37,4,6
20141216,13,7,3,25,12,5,8
20141219,39,44,23,29,31,5,8
20141223,49,25,9,19,8,10,2
20141226,26,45,27,49,17,2,3
20141230,6,18,39,50,44,11,8
20150102,24,25,49,28,22,3,6
20150106,20,38,30,14,49,4,3
20150109,6,32,45,21,24,1,11
20150113,34,31,21,8,17,10,9
20150116,34,32,29,30,46,6,3
20150120,33,47,15,41,44,10,8
20150123,30,45,29,38,6,8,1
